,Name,DP Score,NPV Value,Location,City,Consult Fee,Years of Experience,Speciality,Degree_no,Degree_1,Degree_2
1602,Dr. Miloni Gadoya,94.0,190.0,Tardeo, Mumbai,1500.0,14.0,Gynecologist,2,MBBS,DNB
1603,Dr. Reshma Naushad Hussain,94.0,190.0,Mahim, Mumbai,1800.0,27.0,Gynecologist,3,MBBS,DGO
1604,Dr. Hemant Kanojiya,94.0,190.0,Kandivali, Mumbai,1500.0,27.0,Gynecologist,3,MBBS,MD
1605,Dr. Mohan Krishna Raut,98.0,188.0,Santacruz, Mumbai,2000.0,38.0,Gynecologist,3,MD,MBBS
1606,Dr. Prajakta Katdare-Saraf,94.0,190.0,Vikhroli East, Mumbai,600.0,16.0,Gynecologist,2,MBBS,DNB
1607,Dr. Parzan Mistry,100.0,28.0,Nana Chowk, Mumbai,1000.0,9.0,Gynecologist,2,MS,DNB
1608,Dr. Latika Chawla,94.0,190.0,Khar West, Mumbai,1500.0,13.0,Gynecologist,3,MBBS,DNB
1609,Dr. Neeta Warty,94.0,190.0,Santacruz West, Mumbai,2700.0,36.0,Gynecologist,3,MBBS,MD
1610,Dr. Anita S. Chavan,94.0,190.0,Malad West, Mumbai,1200.0,23.0,Gynecologist,5,MD,DNB
1611,Dr. Vikram Sharad Shah,95.0,19.0,Mahim, Mumbai,1300.0,25.0,Gynecologist,2,MBBS,MD
1612,Dr. Sonal Kumta,94.0,36.0,Mulund West, Mumbai,1300.0,19.0,Gynecologist,2,MBBS,MD
1613,Dr. Kishori Dinendra Kadam,90.0,67.0,Mulund West, Mumbai,1300.0,39.0,Gynecologist,3,MBBS,DGO
1614,Dr. Pradnya Roy,94.0,190.0,Malad West, Mumbai,1000.0,4.0,Gynecologist,3,MBBS,DGO
1615,Dr. Vandana Bansal,94.0,190.0,Santacruz West, Mumbai,1500.0,30.0,Gynecologist,4,MBBS,MD
1616,Dr. Vrushni Bhuta,100.0,48.0,Powai, Mumbai,1300.0,14.0,Gynecologist,3,MBBS,MS
1617,Dr. Hetal Parekh,94.0,190.0,Powai, Mumbai,1300.0,26.0,Gynecologist,2,MBBS,MD
1618,Dr. Harshika Bavishi,96.0,83.0,Chembur East, Mumbai,1000.0,37.0,Gynecologist,1,MD,No_more_degree
1619,Dr. Punam Solanki,80.0,15.0,Andheri West, Mumbai,900.0,14.0,Gynecologist,1,MD,No_more_degree
1620,Dr. Nilesh Jain,94.0,190.0,Ghatkopar East, Mumbai,1500.0,23.0,Gynecologist,2,MBBS,DNB
1621,Dr. Gayatri Rao,98.0,618.0,Khar West, Mumbai,1500.0,19.0,Gynecologist,2,MBBS,DGO
1622,Dr. Gitanjali Dnyanesh Belekar,94.0,190.0,Mahim, Mumbai,1300.0,21.0,Gynecologist,3,MBBS,DNB
1623,Dr. Navaaz Azil Tantra,94.0,190.0,Malad West, Mumbai,1000.0,29.0,Gynecologist,3,MBBS,DNB
1624,Dr. Nilima B. Inamdar,68.0,31.0,Goregaon West, Mumbai,1000.0,39.0,Gynecologist,2,MBBS,MD
1625,Dr. Reena kumari Sengupta,94.0,190.0,Wadala, Mumbai,1000.0,12.0,Gynecologist,2,MBBS,DNB
1626,Dr. Kanika Kalyani,94.0,190.0,Borivali, Mumbai,500.0,14.0,Gynecologist,2,MBBS,MD
1627,Dr. Shilpa Abhyankar,97.0,273.0,Dadar East, Mumbai,800.0,29.0,Gynecologist,3,MBBS,DGO
1628,Dr. Atul Ganatra,94.0,190.0,Mulund West, Mumbai,1300.0,34.0,Gynecologist,3,MBBS,DGO
1629,Dr. Mira Raisinghaney,94.0,190.0,Mahim, Mumbai,1300.0,37.0,Gynecologist,3,MBBS,DGO
1630,Dr. Vrunda  Karanjgaokar,94.0,190.0,Chembur, Mumbai,1200.0,30.0,Gynecologist,5,MD,DNB
1631,Dr. Kirti Shankhdhar,100.0,16.0,Chembur East, Mumbai,1000.0,26.0,Gynecologist,2,MBBS,DNB
1632,Dr. Milind Wankhede,94.0,190.0,Kandivali East, Mumbai,1000.0,19.0,Gynecologist,2,MS,MBBS
1633,Dr. Sachin Dalal,93.0,216.0,Bhandup West, Mumbai,2500.0,21.0,Gynecologist,3,FCPS,DGO
1634,Dr. Sita Gururaja,98.0,195.0,Powai, Mumbai,800.0,27.0,Gynecologist,3,MBBS,DNB
1635,Dr. Minal Chandrashekhar Chalwade,94.0,190.0,Sion East, Mumbai,800.0,16.0,Gynecologist,2,DGO,MBBS
1636,Dr. Vikas Dayanath Mishra,94.0,190.0,Malad West, Mumbai,1000.0,27.0,Gynecologist,2,MBBS,MD
1637,Dr. Mamatha Shriyan,94.0,190.0,Malad West, Mumbai,500.0,24.0,Gynecologist,2,MBBS,MD
1638,Dr. Jyoti Shetty,94.0,190.0,Bandra East, Mumbai,1200.0,30.0,Gynecologist,2,MBBS,MD
1639,Dr. Miral Patel,100.0,17.0,Borivali West, Mumbai,99.0,15.0,Gynecologist,3,DNB,MBBS
1640,Dr. Sneha Nandkishor Rahatekar,94.0,190.0,Ghatkopar East, Mumbai,1500.0,11.0,Gynecologist,3,MBBS,DGO
1641,Dr. Mansi A Medhekar,100.0,12.0,Mahim, Mumbai,1300.0,17.0,Gynecologist,3,MBBS,MS
1642,Dr. Anagha Chhatrapati,94.0,190.0,Parel, Mumbai,1600.0,16.0,Gynecologist,2,MS,MBBS
1643,Dr. Veena G. Shinde,94.0,310.0,Andheri West, Mumbai,800.0,34.0,Gynecologist,3,MBBS,MD
1644,Dr. Anita Soni,75.0,61.0,Powai, Mumbai,1300.0,32.0,Gynecologist,3,MBBS,MD
1645,Dr. Prakash Trivedi,99.0,148.0,Ghatkopar East, Mumbai,3000.0,44.0,Gynecologist,4,MBBS,DGO
1646,Dr. Vaishali Shedge,93.0,29.0,Borivali West, Mumbai,800.0,16.0,Gynecologist,2,MBBS,DGO
1647,Dr. Suchita Pisat,100.0,43.0,Andheri West, Mumbai,800.0,16.0,Gynecologist,3,MBBS,DGO
1648,Dr. Prasad Deshmukh,94.0,190.0,Dadar, Mumbai,1000.0,14.0,Gynecologist,3,MBBS,MS
1649,Dr. Swati Shah,94.0,190.0,Santacruz West, Mumbai,2200.0,31.0,Gynecologist,3,MBBS,MD
1650,Dr. Sharda Arvind,94.0,190.0,Khar West, Mumbai,1500.0,24.0,Gynecologist,2,MBBS,DNB
1651,Dr. Devika Chopra,99.0,253.0,Tardeo, Mumbai,1500.0,17.0,Gynecologist,3,MBBS,DNB
1652,Dr. Dharmesh Kapoor,94.0,190.0,Chembur, Mumbai,1000.0,35.0,Gynecologist,4,MD,MBBS
1653,Dr. Yogesh Trivedi,88.0,17.0,Bhandup West, Mumbai,500.0,10.0,Gynecologist,2,MS,MBBS
1654,Dr. Rima Sonpal,98.0,57.0,Ghatkopar West, Mumbai,800.0,12.0,Gynecologist,3,MBBS,DGO
1655,Dr. Sambit M Nanda,94.0,190.0,Bandra West, Mumbai,1000.0,10.0,Gynecologist,2,MBBS,MS
1656,Dr. Bhagyasree A,94.0,190.0,Chembur East, Mumbai,700.0,11.0,Gynecologist,2,MBBS,DNB
1657,Dr. Monika Agrawal,97.0,231.0,Andheri East, Mumbai,1000.0,18.0,Gynecologist,3,DGO,MBBS
1658,Dr. Divya A Sahetya,100.0,46.0,Andheri West, Mumbai,1200.0,12.0,Gynecologist,2,MBBS,MS
1659,Dr. Nikhil D Datar,99.0,963.0,Malad West, Mumbai,1000.0,32.0,Gynecologist,5,MBBS,MD
1660,Dr. Deepika Doshi,94.0,190.0,Borivali West, Mumbai,800.0,12.0,Gynecologist,2,MBBS,MS
1661,Dr. Garima Sharma,99.0,93.0,Mulund, Mumbai,800.0,13.0,Gynecologist,4,MS,Post
1662,Dr. Shubhada Sanjiv Khandeparkar,92.0,105.0,Dadar East, Mumbai,2500.0,44.0,Gynecologist,2,MBBS,MD
1663,Dr. Simi Kawar,94.0,190.0,Malad West, Mumbai,1600.0,30.0,Gynecologist,2,MS,MBBS
1664,Dr. Uddhavraj Dudhedia,94.0,190.0,Santacruz West, Mumbai,1500.0,26.0,Gynecologist,4,MBBS,MD
1665,Dr. Poonam Nautiyal,99.0,312.0,Santacruz West, Mumbai,1500.0,21.0,Gynecologist,3,MBBS,DGO
1666,Dr. Ajanta Narvekar,94.0,190.0,Matunga, Mumbai,2000.0,41.0,Gynecologist,2,MBBS,MD
1667,Dr. Abhijit Bodke,94.0,190.0,Mira Road, Mumbai,400.0,20.0,Gynecologist,2,DGO,MBBS
1668,Dr. Chitwan Dubey,71.0,41.0,Powai, Mumbai,1300.0,24.0,Gynecologist,2,MBBS,MS
1669,Dr. Laila Rajesh Dave,88.0,25.0,Mahim, Mumbai,1300.0,37.0,Gynecologist,2,MBBS,MD
1670,Dr. Shubhada Kulkarni,90.0,168.0,Andheri West, Mumbai,1000.0,44.0,Gynecologist,2,MBBS,MD
1671,Dr. Pooja Sharma Dimri,94.0,190.0,Malad West, Mumbai,1000.0,23.0,Gynecologist,3,MBBS,MD
1672,Dr. Sanket Pisat,100.0,12.0,Andheri West, Mumbai,800.0,20.0,Gynecologist,3,MS,DNB
1673,Dr. Nimisha Mehta,100.0,60.0,Bhandup West, Mumbai,800.0,9.0,Gynecologist,2,MS,MBBS
1674,Dr. Nitin M Narvekar,100.0,28.0,Matunga, Mumbai,2000.0,41.0,Gynecologist,3,DGO,DNB
1675,Dr. Madhushree Venkat,83.0,35.0,Mulund West, Mumbai,800.0,23.0,Gynecologist,3,MBBS,DGO
1676,Dr. Gangurde Pritimala Bhalchandra,94.0,190.0,Kandivali West, Mumbai,800.0,20.0,Gynecologist,2,MBBS,DNB
1677,Dr. Maulik Joshi,94.0,190.0,Matunga West, Mumbai,800.0,30.0,Gynecologist,2,MBBS,MD
1678,Dr. Nutan Hegde,97.0,110.0,Dadar West, Mumbai,900.0,20.0,Gynecologist,3,MBBS,DGO
1679,Dr. Hitesh I Parikh,94.0,190.0,Bandra West, Mumbai,1000.0,36.0,Gynecologist,3,MD,DGO
1680,Dr. Deepika Asati,95.0,19.0,Kandivali East, Mumbai,800.0,19.0,Gynecologist,2,MBBS,DGO
1681,Dr. Sangeeta Raodeo,100.0,76.0,Mulund West, Mumbai,800.0,17.0,Gynecologist,2,DGO,FCPS
1682,Dr. Rinoy Sreedharan,94.0,190.0,Bhandup, Mumbai,500.0,15.0,Gynecologist,2,MBBS,MD
1683,Dr. Nikita Lad Patel,94.0,190.0,Mahim, Mumbai,1300.0,20.0,Gynecologist,2,MBBS,DGO
1684,Dr. Meghana D Sarvaiya,99.0,217.0,Malad West, Mumbai,1000.0,21.0,Gynecologist,3,MBBS,DGO
1685,Dr. Dhrupti B Dedhia,94.0,190.0,Santacruz West, Mumbai,2200.0,25.0,Gynecologist,3,MBBS,DGO
1686,Dr. Varsha Degwekar,94.0,267.0,Powai, Mumbai,1000.0,36.0,Gynecologist,2,MS,MBBS
1687,Dr. Mohini Vachhani,98.0,314.0,Mahim, Mumbai,1300.0,43.0,Gynecologist,4,Fellow,MRCOG(UK)
1688,Dr. Prashansa Raut-Dalvi,94.0,190.0,Goregaon East, Mumbai,800.0,11.0,Gynecologist,3,MBBS,DGO
1689,Dr. Punam Sinha,100.0,20.0,Prabhadevi, Mumbai,1000.0,43.0,Gynecologist,2,DGO,MBBS
1690,Dr. Geetanjali Gariema,94.0,190.0,Oshiwara, Mumbai,1500.0,22.0,Gynecologist,2,MS,MBBS
1691,Dr. Pallavi Pandey Mishra,94.0,190.0,Malad West, Mumbai,1200.0,14.0,Gynecologist,2,MBBS,MS
1692,Dr. Ashish Shyamkul,94.0,190.0,Goregaon, Mumbai,500.0,20.0,Gynecologist,2,MBBS,MS
1693,Dr. Shilpa Bansal Agrawal,99.0,1083.0,Andheri West, Mumbai,1500.0,18.0,Gynecologist,2,MBBS,MD
1694,Dr. Jayshree Raurale,94.0,190.0,Kandivali West, Mumbai,800.0,15.0,Gynecologist,2,MBBS,MS
1695,Dr. Hemashree Patel,98.0,128.0,Kandivali West, Mumbai,1200.0,17.0,Gynecologist,2,DNB,MBBS
1696,Dr. Shweta Shah,99.0,184.0,Malad West, Mumbai,1500.0,12.0,Gynecologist,2,MBBS,MS
1697,Dr. Shivani Baheti,94.0,190.0,Santacruz West, Mumbai,500.0,3.0,Gynecologist,1,MS,No_more_degree
1698,Dr. Bela Kedia,94.0,190.0,Mulund West, Mumbai,1300.0,36.0,Gynecologist,3,MBBS,DGO
1699,Dr. Jay Mehta,85.0,26.0,Ghatkopar East, Mumbai,3000.0,12.0,Gynecologist,2,MBBS,DNB
1700,Dr. Soumil Trivedi,100.0,91.0,Ghatkopar East, Mumbai,2000.0,15.0,Gynecologist,2,MBBS,DNB
1701,Dr. Padma Khade,82.0,11.0,Ghatkopar East, Mumbai,800.0,28.0,Gynecologist,2,MBBS,MD
1702,Dr. Tejal Sheth Soni,94.0,190.0,Ghatkopar East, Mumbai,800.0,13.0,Gynecologist,2,FCPS,DGO
1703,Dr. Archana R. Gaikwad,94.0,190.0,Chembur East, Mumbai,800.0,17.0,Gynecologist,2,MBBS,DGO
1704,Dr. Mugdha Raut,99.0,240.0,Santacruz, Mumbai,2000.0,34.0,Gynecologist,3,MBBS,MD
1705,Dr. Shyam V Desai,94.0,190.0,Malad West, Mumbai,1200.0,46.0,Gynecologist,2,MD,MBBS
1706,Dr. Shraddha Ganatra,94.0,190.0,Malad West, Mumbai,700.0,14.0,Gynecologist,2,MBBS,DGO
1707,Dr. Ankesh Sahetya,100.0,1160.0,Andheri West, Mumbai,1200.0,15.0,Gynecologist,4,DNB,DGO
1708,Dr. Saurabh Dani,100.0,27.0,Malad West, Mumbai,1000.0,23.0,Gynecologist,3,FCPS,MBBS
1709,Dr. Anita K Mohan,97.0,32.0,Mahim, Mumbai,1300.0,29.0,Gynecologist,4,MBBS,DGO
1710,Dr. Shweta Raje,99.0,287.0,Khar West, Mumbai,1500.0,19.0,Gynecologist,2,MBBS,MD
1711,Dr. Suyash Bhandekar,99.0,93.0,Mulund, Mumbai,1200.0,15.0,Gynecologist,5,MBBS,MS
1712,Dr. Nanda R Kumar,89.0,180.0,Chembur East, Mumbai,1000.0,20.0,Gynecologist,2,MBBS,DGO
1713,Dr. Sharmishtha Prashant Kewle,94.0,190.0,Chembur, Mumbai,1000.0,17.0,Gynecologist,2,MBBS,DGO
1714,Dr. Rajashri Suryakant,94.0,190.0,Borivali West, Mumbai,1000.0,14.0,Gynecologist,2,MBBS,DNB
1715,Dr. Ketan Pandit,94.0,190.0,Mulund West, Mumbai,1300.0,33.0,Gynecologist,2,MBBS,MD
1716,Dr. Vijal Modi,100.0,13.0,Malad East, Mumbai,800.0,13.0,Gynecologist,2,MBBS,DNB
1717,Dr. G Shruti Anil,94.0,190.0,Chembur East, Mumbai,700.0,15.0,Gynecologist,3,MBBS,MS
1718,Dr. Tanuja Uchil,94.0,845.0,Chembur East, Mumbai,1200.0,26.0,Gynecologist,2,MD,MBBS
1719,Dr. Shilpa Shah Gohil,98.0,136.0,Mahim, Mumbai,1800.0,20.0,Gynecologist,4,MD,DNB
1720,Dr. Ritu Palve,94.0,190.0,Mahim, Mumbai,1300.0,21.0,Gynecologist,4,MBBS,DNB
1721,Dr. Mahek Motwani,88.0,43.0,Mulund West, Mumbai,800.0,26.0,Gynecologist,4,MBBS,DGO
1722,Dr. Pradnya Randive,95.0,130.0,Bhandup West, Mumbai,800.0,17.0,Gynecologist,2,MBBS,MS
1723,Dr. Vidya Patil,88.0,128.0,Borivali West, Mumbai,800.0,27.0,Gynecologist,3,MBBS,DNB
1724,Dr. Vibha Arora,98.0,124.0,Malad West, Mumbai,1000.0,22.0,Gynecologist,2,MBBS,MD
1725,Dr. Swati Allahbadia,94.0,49.0,Parel, Mumbai,1500.0,36.0,Gynecologist,4,MD,DGO
1726,Dr. Aditi Singhi,96.0,23.0,Chembur, Mumbai,1200.0,20.0,Gynecologist,2,MBBS,MS
1727,Dr. Sunayana Dubey,94.0,16.0,Kandivali East, Mumbai,700.0,22.0,Gynecologist,2,MBBS,DGO
1728,Dr. Balkrishna M Inamdar,100.0,12.0,Goregaon West, Mumbai,1000.0,44.0,Gynecologist,2,MBBS,MD
1729,Dr. Rakhee Sahu,95.0,21.0,Powai, Mumbai,1300.0,25.0,Gynecologist,2,MBBS,MD
1730,Dr. Saloni Suchak,99.0,617.0,Malad West, Mumbai,1000.0,18.0,Gynecologist,2,MBBS,MS
1731,Dr. Gouri Sultane Gupta,92.0,125.0,Goregaon West, Mumbai,1000.0,20.0,Gynecologist,4,MBBS,DNB
1732,Dr. Aditi Phulpagar,94.0,190.0,Mahim, Mumbai,1300.0,22.0,Gynecologist,2,MBBS,MD
1733,Dr. Shruti Rai,100.0,23.0,Chembur, Mumbai,700.0,9.0,Gynecologist,2,MBBS,DGO
1734,Dr. Shital S Jadhav,99.0,87.0,Kandivali East, Mumbai,1000.0,19.0,Gynecologist,2,DNB,MBBS
1735,Dr. Anuradha Narayanan,94.0,190.0,Chembur, Mumbai,1000.0,17.0,Gynecologist,3,MBBS,DGO
1736,Dr. Prabhjot Manchanda,89.0,53.0,Ghatkopar East, Mumbai,800.0,13.0,Gynecologist,2,MBBS,DNB
1737,Dr. Hemlata Hardasani,99.0,1736.0,Andheri West, Mumbai,1500.0,27.0,Gynecologist,2,MBBS,DGO
1738,Dr. Raju Sahetya,95.0,115.0,Malad West, Mumbai,1000.0,44.0,Gynecologist,4,MD,DGO
1739,Dr. Nirali Dedhia,95.0,41.0,Malad, Mumbai,800.0,9.0,Gynecologist,2,MBBS,MS
1740,Dr. Renubala Rout,96.0,50.0,Kandivali East, Mumbai,1000.0,17.0,Gynecologist,2,DNB,MBBS
1741,Dr. Mukesh Agrawal,94.0,190.0,Malad West, Mumbai,1600.0,32.0,Gynecologist,4,MD,DNB
1742,Dr. Vanita Raut,97.0,88.0,Powai, Mumbai,1300.0,43.0,Gynecologist,2,MBBS,MD
1743,Dr. Nirmal Nitin Gujarathi,94.0,190.0,Malad West, Mumbai,1000.0,17.0,Gynecologist,3,DNB,DGO
1744,Dr. Namrita Sheregar,99.0,153.0,Andheri West, Mumbai,1000.0,17.0,Gynecologist,4,MBBS,DNB
1745,Dr. Yatin Thakorlal Shah,94.0,190.0,Malad West, Mumbai,1000.0,13.0,Gynecologist,1,DGO,No_more_degree
1746,Dr. Radhika Sheth,100.0,291.0,Malad West, Mumbai,1100.0,15.0,Gynecologist,5,MS,DNB
1747,Dr. Tejal Poddar,98.0,121.0,Opera House, Mumbai,1000.0,12.0,Gynecologist,2,MS,MBBS
1748,Dr. Girish Sabnis,94.0,190.0,Mulund West, Mumbai,1300.0,44.0,Gynecologist,2,MBBS,MD
1749,Dr. Smita Pawar,98.0,59.0,Malad West, Mumbai,500.0,12.0,Gynecologist,2,MBBS,DNB
1750,Dr. Shonir Pai,94.0,33.0,Mahim, Mumbai,1300.0,9.0,Gynecologist,1,MS,No_more_degree
1751,Dr. Gouri Gore,91.0,180.0,Chembur East, Mumbai,800.0,18.0,Gynecologist,2,MBBS,MS
1752,Dr. Jyotsna Patel,89.0,149.0,Andheri East, Mumbai,1000.0,29.0,Gynecologist,3,MD,DGO
1753,Dr. Preeti Prabhakar Shetty,27.0,15.0,Bannerghatta Road, Bangalore,850.0,19.0,Gynecologist,2,MBBS,MD
1754,Dr. Vandana Ramanathan,94.0,190.0,Marathahalli, Bangalore,550.0,11.0,Gynecologist,3,MBBS,Fellowship
1755,Dr. BM Mamatha,94.0,190.0,Koramangala 6 Block, Bangalore,600.0,34.0,Gynecologist,2,MBBS,MD
1756,Dr. Nagaveni.R,100.0,805.0,HRBR Layout, Bangalore,700.0,16.0,Gynecologist,3,MBBS,DGO
1757,Dr. Payal Mahapatra,90.0,150.0,Marathahalli, Bangalore,700.0,17.0,Gynecologist,2,MBBS,DGO
1758,Dr. Mala Sibal,91.0,22.0,Old Airport Road, Bangalore,750.0,35.0,Gynecologist,3,MBBS,DGO
1759,Dr. Bhavana N Ashar,100.0,69.0,HRBR Layout, Bangalore,850.0,23.0,Gynecologist,2,MBBS,DGO
1760,Dr. Nupur Sood,92.0,25.0,Koramangala 6 Block, Bangalore,650.0,16.0,Gynecologist,2,MBBS,DNB
1761,Dr. Kakoli Guha Sen,94.0,190.0,Sarjapur Road, Bangalore,700.0,27.0,Gynecologist,2,MBBS,MD
1762,Dr. Archana Singh,94.0,190.0,Bellandur, Bangalore,850.0,10.0,Gynecologist,2,MBBS,MS
1763,Dr. Sunitha B.,97.0,215.0,JP Nagar 1 Phase, Bangalore,900.0,21.0,Gynecologist,3,MBBS,DGO
1764,Dr. Shilpashree. N,99.0,69.0,Kanakpura Road, Bangalore,850.0,16.0,Gynecologist,2,MBBS,DNB
1765,Dr. Shashikala S,94.0,16.0,Malleswaram, Bangalore,850.0,36.0,Gynecologist,2,MBBS,DGO
1766,Dr. Shruthi K,88.0,165.0,Old Airport Road, Bangalore,500.0,16.0,Gynecologist,2,MBBS,MS
1767,Dr. A K Shiny Prem,97.0,39.0,Indiranagar, Bangalore,600.0,17.0,Gynecologist,3,MBBS,DGO
1768,Dr. Jakka Sai Manasa Reddy,96.0,51.0,Whitefield, Bangalore,800.0,10.0,Gynecologist,2,MBBS,MS
1769,Dr. Modhulika Bhattacharya,98.0,482.0,Old Airport Road, Bangalore,850.0,23.0,Gynecologist,2,MBBS,MD
1770,Dr. Ramya Shankar,94.0,190.0,Banashankari, Bangalore,600.0,22.0,Gynecologist,3,MBBS,DGO
1771,Dr. Arockia Virgin Fernando,100.0,102.0,Kalyan Nagar, Bangalore,850.0,18.0,Gynecologist,3,MBBS,DGO
1772,Dr. Vijayalakshmi M,95.0,107.0,Indiranagar, Bangalore,800.0,44.0,Gynecologist,2,MBBS,DGO
1773,Dr. Chitralekha N. Dambekodi,95.0,227.0,Malleswaram, Bangalore,850.0,25.0,Gynecologist,3,MBBS,DGO
1774,Dr. Indu Madhusudan,100.0,38.0,Kumaraswamy Layout, Bangalore,500.0,20.0,Gynecologist,2,MBBS,MD
1775,Dr. Chaitra Nayak,96.0,81.0,JP Nagar 4 Phase, Bangalore,600.0,21.0,Gynecologist,3,MBBS,MS
1776,Dr. Soumya Lakshmi T V,95.0,40.0,Hebbal, Bangalore,800.0,24.0,Gynecologist,2,MBBS,DGO
1777,Dr. Swagatha Mukherjee,71.0,17.0,JP Nagar 7 Phase, Bangalore,650.0,15.0,Gynecologist,2,MBBS,MS
1778,Dr. Kavitha P M,96.0,53.0,Jayanagar, Bangalore,850.0,16.0,Gynecologist,2,MBBS,DNB
1779,Dr. A.S. Shylaja,89.0,80.0,Jayanagar, Bangalore,850.0,30.0,Gynecologist,2,MBBS,MD
1780,Dr. Sharvani,94.0,190.0,KR Puram, Bangalore,450.0,12.0,Gynecologist,2,MBBS,DGO
1781,Dr. Hemanandini Jayaraman,95.0,97.0,Old Airport Road, Bangalore,750.0,29.0,Gynecologist,2,MBBS,MD
1782,Dr. Deepthi Bawa,89.0,19.0,Vasanthnagar, Bangalore,850.0,11.0,Gynecologist,2,MBBS,MS
1783,Dr. Shilpa Apte,84.0,25.0,Jayanagar 5 Block, Bangalore,700.0,23.0,Gynecologist,2,MBBS,DGO
1784,Dr. Nagarathna D S,93.0,41.0,Koramangala 5 Block, Bangalore,700.0,26.0,Gynecologist,2,MBBS,DGO
1785,Dr. Sandya Rani,99.0,247.0,Whitefield, Bangalore,700.0,19.0,Gynecologist,2,MBBS,MS
1786,Dr. Priti Venkatesh,95.0,19.0,Old Airport Road, Bangalore,750.0,39.0,Gynecologist,3,MBBS,MD
1787,Dr. Asha Vijendra Gowda,91.0,46.0,Nagarbhavi 2nd Stage, Bangalore,500.0,18.0,Gynecologist,2,MBBS,MS
1788,Dr. Archana Ramesh,94.0,190.0,Banashankari, Bangalore,600.0,16.0,Gynecologist,3,DGO,MRCOG(UK)
1789,Dr. Manjula Raghuveer,96.0,183.0,Malleswaram, Bangalore,850.0,22.0,Gynecologist,2,MBBS,DNB
1790,Dr. Aditi Godse,94.0,190.0,Old Airport Road, Bangalore,750.0,16.0,Gynecologist,2,MBBS,DGO
1791,Dr. Swati Shree,94.0,190.0,Varthur, Bangalore,600.0,6.0,Gynecologist,3,MBBS,Fellowship
1792,Dr. Swarnalatha .S,100.0,14.0,Richmond Town, Bangalore,600.0,30.0,Gynecologist,2,MS,MBBS
1793,Dr. Geeta Komar,75.0,12.0,Whitefield, Bangalore,600.0,22.0,Gynecologist,2,MBBS,MD
1794,Dr. Disha Sridhar,85.0,66.0,Indiranagar, Bangalore,700.0,22.0,Gynecologist,3,MBBS,MD
1795,Dr. Nusrat,96.0,26.0,Banashankari, Bangalore,600.0,17.0,Gynecologist,2,MBBS,MS
1796,Dr. Aparna Shintre,98.0,157.0,Malleswaram, Bangalore,850.0,26.0,Gynecologist,3,MBBS,MD
1797,Dr. Shivani Chandan L,98.0,43.0,JP Nagar, Bangalore,800.0,12.0,Gynecologist,3,MBBS,MS
1798,Dr. Mohini S Jadwani,94.0,17.0,Richmond Town, Bangalore,550.0,42.0,Gynecologist,2,MBBS,MD
1799,Dr. Ramya K S,100.0,30.0,Akshaya nagar, Bangalore,600.0,13.0,Gynecologist,2,MBBS,MS
1800,Dr. Amrita Rao,93.0,100.0,Old Airport Road, Bangalore,750.0,29.0,Gynecologist,2,MBBS,DNB
1801,Dr. Prajual S Hegde,95.0,65.0,Koramangala 6 Block, Bangalore,600.0,29.0,Gynecologist,2,MBBS,MD
1802,Dr. Shwetha S. Kamath,98.0,227.0,RT Nagar, Bangalore,600.0,16.0,Gynecologist,2,MBBS,MS
1803,Dr. Veni Nekkilady,100.0,78.0,Kalyan Nagar, Bangalore,400.0,12.0,Gynecologist,3,MBBS,MD
1804,Dr. Lalitha S,94.0,190.0,Rajarajeshwarinagar, Bangalore,500.0,28.0,Gynecologist,2,MBBS,DNB
1805,Dr. Ayesha Sharieff,76.0,21.0,Jayanagar 5 Block, Bangalore,600.0,32.0,Gynecologist,2,MBBS,MRCOG(UK)
1806,Dr. Chinmayie R,94.0,190.0,Basavanagudi, Bangalore,550.0,14.0,Gynecologist,3,MBBS,MS
1807,Dr. Chandrika Rao,94.0,190.0,Basaveshwaranagar, Bangalore,800.0,28.0,Gynecologist,2,MBBS,MD
1808,Dr. Sunitha T,100.0,153.0,Vidyaranyapura, Bangalore,400.0,16.0,Gynecologist,2,MS,MBBS
1809,Dr. Shashikala Ksheerasagar,100.0,26.0,Millers Road, Bangalore,1000.0,22.0,Gynecologist,4,MBBS,DGO
1810,Dr. Karamjit Kaur,82.0,11.0,Old Airport Road, Bangalore,850.0,22.0,Gynecologist,2,MBBS,MD
1811,Dr. Mangala Ramachandra,84.0,85.0,Bannerghatta Road, Bangalore,800.0,39.0,Gynecologist,3,MBBS,MD
1812,Dr. Ashwini P,91.0,363.0,Indiranagar, Bangalore,700.0,21.0,Gynecologist,2,MBBS,DNB
1813,Dr. Mangala Gowri,91.0,11.0,Basavanagudi, Bangalore,650.0,24.0,Gynecologist,2,MS,MBBS
1814,Dr. Mukta Nadig,94.0,361.0,Malleswaram, Bangalore,850.0,42.0,Gynecologist,2,MBBS,MS
1815,Dr. Lavanya J,88.0,85.0,Bagalakunte, Bangalore,300.0,20.0,Gynecologist,2,MBBS,DGO
1816,Dr. Rubeena Zainab,94.0,190.0,Indiranagar, Bangalore,900.0,11.0,Gynecologist,2,MBBS,MS
1817,Dr. Chetan Nelvigi,88.0,24.0,Bannerghatta Road, Bangalore,850.0,31.0,Gynecologist,2,MBBS,MS
1818,Dr. Harinath K S,100.0,13.0,Richmond Town, Bangalore,600.0,16.0,Gynecologist,2,MBBS,DGO
