Name,Degree,DP Score,NPV Value,Location,City,Consult Fee,Years of Experience,Speciality
Dr. Ashok Kumar Dutta,"MBBS, MD - Pediatrics",,,Sarita Vihar, Delhi,₹1000,52,Pediatrician
Dr. Chandni Jain,"MBBS, MD - Dermatology , Venereology & Leprosy",,,Lajpat Nagar, Delhi,₹1500,t6,Dermatologist
Dr. Satvinder Kapoor,"MBBS, DNB - Paediatrics",,,Shalimar Bagh, Delhi,₹1000,30,Pediatrician
Ms. Anubha Dubey,"M.Phil - Clinical Psychology, BA - Psychology, MA - Clinical Psychology",89% ,(56 votes),Vasant Kunj, Delhi,₹1850,16,"TherapistClinical Psychologist, Psychologist"
Dr. Manju Aggarwal,"MBBS, DGO, Fellow of Indian College of Obstetrics and Gynecology (FICOG)",98% ,(49 votes),Pitampura, Delhi,₹800,23,"Infertility Specialist, Gynecologist, Obstetrician"
Dr. Kailash Nath Gupta,"MD - Physician, DNB - Respiratory Diseases",93% ,(612 votes),Dwarka, Delhi,₹800,28,"Pulmonologist, Tuberculous and chest Diseases Specialist"
Dr. Jasbir Chandna,"MBBS, MD - Obstetrics & Gynaecology",92% ,(24 votes),Greater Kailash Part 2, Delhi,₹1500,44,"Gynecologist, Obstetrician"
Dr. Ashok Saxena,"MBBS, MD - Pediatrics, DM - Neonatology",,,Dwarka Sector 6, Delhi,₹1100,41,"Pediatrician, Neonatologist"
Dr. Isha Pareek,BDS,,,Pusa Road, Delhi,₹800,13,Dentist
Dr. C P Roy,"MBBS, MD - Medicine, DM - Cardiology",,,Saket, Delhi,₹1200,37,Cardiologist
Dr. Prateek Varshney,"MBBS, MS - General Surgery, MCh - Surgical Oncology",,,Shalimar Bagh, Delhi,₹1000,14,Surgical Oncologist
Dr. Sachinder Kaur,"MBBS, MD - General Medicine",,,Patparganj, Delhi,₹1000,33,Internal Medicine
Dr. Anil Kumar Varshney,"MBBS, MD - Medicine",,,Dwarka Sector 12, Delhi,₹1000,43,"Internal Medicine, Consultant Physician"
Dr. Sumit Thapar   (Physiotherapist),BPTh/BPT,96% ,(51 votes),Greater Kailash Part 1, Delhi,₹1200,t9,TherapistPhysiotherapist
Dr. Dinesh Mittal,"MCh - Cardio Thoracic and Vascular Surgery, MS - General Surgery, MBBS",,,Shalimar Bagh, Delhi,₹1000,23,"Cardiac Surgeon, General Surgeon"
Dr. Robin Khosa,"MBBS, MD - Radiotherapy",,,Sarita Vihar, Delhi,₹1500,15,Radiation Oncologist
Dr. Sangeeta Mutreja,"MBBS, DO",89% ,(46 votes),Dwarka, Delhi,₹500,38,Ophthalmologist/ Eye Surgeon
Dr. Atul Goswami,"MBBS, MS - General Surgery, MCh - Urology",53% ,(19 votes),Gujranwala Town, Delhi,₹1500,38,"Urologist, Laparoscopic Surgeon, General Surgeon"
Dr. A J Chitkara,"MBBS, MD - Pediatrics, DNB - Pediatrics",57% ,(21 votes),Shalimar Bagh, Delhi,₹1400,44,Pediatrician
Mr. Vijay Aggarwal,99% (84 votes),99% ,(84 votes),Janakpuri, Delhi,₹800,31,"TherapistSpeech Therapist, Audiologist"
Dr. Sameer Mehrotra,"MBBS, DM - Cardiology, MD - General Medicine",98% ,(40 votes),Pusa Road, Delhi,₹1500,23,Cardiologist
Dr. M N Sehar,"MBBS, Diploma in Orthopaedics",,,Sarita Vihar, Delhi,₹2000,42,Orthopedic surgeon
Dr. Anika Gupta,BHMS,100% ,(54 votes),Rohini Sector 11, Delhi,₹500,13,AYUSHHomoeopath
Dr. Ranjit Verma,"MBBS, MS - Ophthalmology",,,Panchsheel Park, Delhi,₹1000,34,Ophthalmologist/ Eye Surgeon
Dr. Arvind Kumar Vaid,"MBBS, MD - Obstetrics & Gynaecology",,,Patel Nagar South, Delhi,₹1000,20,"Gynecologist, Obstetrician, Infertility Specialist"
Dr. Vimal Kumar Dakour,"MBBS, Diploma in Orthopaedics, DNB - Orthopedics/Orthopedic Surgery",96% ,(112 votes),Lajpat Nagar, Delhi,₹600,19,Orthopedic surgeon
Dr. Sunita Arora,"MBBS, MD - Obstetrics & Gynaecology, Fellow of Indian College of Obstetrics and Gynecology (FICOG), FICS",100% ,(49 votes),Greater Kailash Part 2, Delhi,₹1500,26,"Obstetrician, Gynecologist, Infertility Specialist"
Dr. Nafisa Parveen,"MBBS, MS - ENT",92% ,(60 votes),Azadpur, Delhi,₹500,17,ENT/ Otorhinolaryngologist
Dr. Amitabh Gupta,"MBBS, MS - General Surgery, MCh - Neuro Surgery",88% ,(24 votes),Vasant Kunj, Delhi,₹1400,21,"Neurosurgeon, Spine Surgeon (Ortho), Neurologist"
Dr. Nishat Fatima,"MBBS, Masters in Clinical Dermatology",,,Safdarjung Enclave, Delhi,₹1000,12,Hair Transplant Surgeon
Dr. Anupma Gupta,"MBBS, MD - Obstetrics & Gynaecology",82% ,(11 votes),Pitampura, Delhi,₹600,24,"Gynecologist, Obstetrician"
Dr. Pawan Gupta,"MBBS, MS - General Surgery, MCh - Surgical Oncology",,,Patparganj, Delhi,₹800,28,Surgical Oncologist
Dr. Anjali Agarwal,BDS,,,Pitampura, Delhi,₹500,11,"Dentist, Cosmetic/Aesthetic Dentist"
Dr. Arvinder Singh Chilana,"MBBS, MS - General Surgery",,,Shalimar Bagh, Delhi,₹1200,43,"General Surgeon, Laparoscopic Surgeon"
Dr. Renu Chawla,"MBBS, MD - Obstetrics & Gynaecology",63% ,(27 votes),Laxmi Nagar, Delhi,₹1000,40,"Gynecologist, Obstetrician"
Dr. Raj Kumar,"MBBS, MS - Orthopaedics",96% ,(306 votes),Rohini, Delhi,₹800,47,"Orthopedic surgeon, Spine Surgeon (Ortho), Joint Replacement Surgeon"
Dr. Ajay Arora,BDS,96% ,(169 votes),Rohini Sector 7, Delhi,₹300,22,Dentist
Dr. Neerja   (PhD),"MA - Psychology, PhD - Psychology",,,Sarita Vihar, Delhi,₹1000,17,TherapistClinical Psychologist
Dr. Vibhu V Mittal,"MBBS, MD - Medicine, DM - Gastroenterology",86% ,(137 votes),Patparganj, Delhi,₹1000,21,Gastroenterologist
Dr. Atul Ahuja,"MS - ENT, MBBS",,,Sarita Vihar, Delhi,₹1500,33,ENT/ Otorhinolaryngologist
Dr. Divyangna Chaudhary,BDS,85% ,(53 votes),Vikas Puri, Delhi,₹500,13,Dentist
Dr. Arjun Handa,"MBBS, MS - General Surgery, DNB - Plastic Surgery",100% ,(41 votes),Raja Garden, Delhi,₹1000,13,"Plastic Surgeon, General Surgeon, Hair Transplant Surgeon"
Dr. Ankita Sharma,"MBBS, MS - Ophthalmology",,,Vikas Puri, Delhi,₹500,15,Ophthalmologist/ Eye Surgeon
Dr. Rinkush Budhiraja,BHMS,99% ,(103 votes),Shalimar Bagh, Delhi,₹1000,24,AYUSHHomoeopath
Dr. Biren Nadkarni,"MBBS, MS - Orthopaedics",97% ,(509 votes),Hauz Khas, Delhi,₹1200,26,"Orthopedic surgeon, Joint Replacement Surgeon"
Dr. Nikhil Verma,"MBBS, MS - Orthopaedics, DNB - Orthopedics/Orthopedic Surgery",98% ,(65 votes),Model Town 3, Delhi,₹800,13,"Orthopedic surgeon, Joint Replacement Surgeon"
Dr. Ankit Jain,"BDS, MDS - Oral Medicine and Radiology",100% ,(311 votes),Tri Nagar, Delhi,₹300,11,"Dentist, Cosmetic/Aesthetic Dentist, Implantologist, Oral Medicine and Radiology"
Dr. Sandeep Arora,"MBBS, DNB - ENT, MS - ENT, MNAMS - Otorhinolaryngology",100% ,(42 votes),Saket, Delhi,₹1200,13,"ENT/ Otorhinolaryngologist, Head and Neck Surgeon"
Dr. Navin Sakhuja,"MD - Ophthalmology, DNB - Ophthalmology, MBBS",99% ,(108 votes),Panchsheel Park, Delhi,₹2000,37,Ophthalmologist/ Eye Surgeon
Dr. Ranjana Gupta,BHMS,94% ,(219 votes),Dwarka, Delhi,₹500,27,AYUSHHomoeopath
Dr. Anup Sabherwal,"MBBS, MS - ENT",92% ,(134 votes),Shalimar Bagh, Delhi,₹1000,26,ENT/ Otorhinolaryngologist
Dr. Aviansh Chanana,MBBS,,,Nangloi, Delhi,₹300,n5,"General Practitioner, General Physician"
Dr. Mitu Papneja Shrikhande,"MBBS, MD - Medicine, DNB - General Medicine",,,Vasant Kunj, Delhi,₹1400,28,"General Physician, Internal Medicine"
Dr. Ashu Gupta,BDS,94% ,(49 votes),Munirka, Delhi,₹1000,27,"Cosmetic/Aesthetic Dentist, Dental Surgeon"
Dr. Dimple Arora,BDS,100% ,(226 votes),Ashok Vihar, Delhi,₹500,26,"Dentist, Cosmetic/Aesthetic Dentist, Dental Surgeon"
Dr. Ashish Nandwani,"MBBS, MD - General Medicine, DNB - Nephrology",,,Dwarka Sector 6, Delhi,₹1100,24,Nephrologist/Renal Specialist
Dr. Naresh Bhatia,"MBBS, MD - Pediatrics",,,Patparganj, Delhi,₹1000,38,Pediatrician
Dr. Upama Gupta,BDS,98% ,(630 votes),Kalkaji, Delhi,₹800,22,"Dentist, Dental Surgeon"
Ms. Barkha Gupta,"BASLP, Master of Science in Speech-Language Pathology",90% ,(126 votes),Preet Vihar, Delhi,₹800,17,"TherapistAudiologist, Speech Therapist"
Dr. Vishal Gupta,"BDS, MDS - Orthodontics, FDSRCS - Fellowship in Dental Surgery",99% ,(1028 votes),New Friends Colony, Delhi,₹600,24,"Orthodontist, Dentist, Implantologist"
Dr. Rohit Rajput,"MBBS, MS - ENT, DNB - Otorhinolaryngology",78% ,(49 votes),Janakpuri, Delhi,₹700,25,"ENT/ Otorhinolaryngologist, Otologist/ Neurotologist"
Dr. Shishta Nadda Basu,"MBBS, MS - Obstetrics & Gynaecology",,,Shalimar Bagh, Delhi,₹1000,43,"Gynecologist, Obstetrician"
Dr. A.K.Chatterjee,"MBBS, DVD",,,Ram Nagar, Delhi,₹700,48,"Dermatologist, Cosmetologist"
Dr. Richa Gupta,"MBBS, DGO",92% ,(13 votes),Dwarka Sector 13, Delhi,₹700,15,"Gynecologist, Laparoscopic Surgeon (Obs & Gyn), Obstetrician"
Dr. Satbir Singh,"MBBS, DNB - General Medicine, DNB - Cardiology",97% ,(188 votes),Pusa Road, Delhi,₹1300,24,"Cardiologist, General Physician, Consultant Physician, Interventional Cardiologist"
Dr. Kunj Panwar,"MBBS, MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine",,,Rohini Sector 11, Delhi,₹800,t9,Pulmonologist
Dr. Poonam Dutt,"BDS, MDS - Periodontics",97% ,(88 votes),Defence Colony, Delhi,₹800,36,"Periodontist, Dental Surgeon, Dentist"
Dr. Parul Singh,"MBBS, MD - Dermatology , Venereology & Leprosy",,,Kalkaji, Delhi,₹1000,10,Dermatologist
Dr. Manu Saxena,"MBBS, DVD",,,Nehru Place, Delhi,₹1000,35,Dermatologist
Dr. Vikram Kalra,"MD - Medicine, DM - Nephrology, MBBS",81% ,(16 votes),Punjabi Bagh, Delhi,₹1000,27,Nephrologist/Renal Specialist
Dr. Ankit Gupta,"MBBS, Diploma in Otorhinolaryngology (DLO)",100% ,(26 votes),Janakpuri, Delhi,₹500,12,ENT/ Otorhinolaryngologist
Dr. Kamal Batra,"BDS, MDS - Orthodontics",99% ,(260 votes),Paschim Vihar, Delhi,₹500,17,"Dentist, Dentofacial Orthopedist, Implantologist, Orthodontist, Dental Surgeon"
Dr. Kanika Batra Modi,"MBBS, DNB - Obstetrics & Gynecology",,,Lajpat Nagar, Delhi,₹1000,13,"Gynecologist, Laparoscopic Surgeon (Obs & Gyn)"
Dr. Mohit Goel,"MBBS, DM - Neurology",,,Saket, Delhi,₹1200,27,Neurologist
Dr. Sukriti Bhalla,"Doctor of Medicine, DNB - General Medicine, DNB - Cardiology",,,Rajouri Garden, Delhi,₹1000,16,"General Physician, Cardiologist"
Dr. Ekta Narula,BDS,98% ,(140 votes),New Rajendra Nagar, Delhi,₹600,25,"Dentist, Cosmetic/Aesthetic Dentist"
Dr. Kishor Kumar Tuteja,MBBS,,,Rani Bagh, Delhi,₹300,25,General Physician
Dr. Samvedna Sindwani,"MBBS, DGO",95% ,(37 votes),Vikas Puri, Delhi,₹500,14,Gynecologist
Dr. Vivek Marwah,"MBBS, MS - Obstetrics & Gynaecology",100% ,(19 votes),Saket, Delhi,₹1000,34,Gynecologist
Dr. Priyanka Trivedi   (PhD),"Certificate Course in Integrated Clinical Hypnotherapy, PhD - Psychology, MA - Psychology, BA - Psychology",99% ,(111 votes),Safdarjung Enclave, Delhi,₹1500,26,"TherapistPsychotherapist, Hypnotherapist, Health Psychologist, Counselling Psychologist"
Dr. C B Singh,BHMS,91% ,(440 votes),Laxmi Nagar, Delhi,₹500,11,"AYUSHHomoeopath, Sexologist"
Dr. Rekha Khandelwal,"MBBS, MS - Obstetrics & Gynaecology",83% ,(18 votes),Malviya Nagar, Delhi,₹1000,46,"Gynecologist, Obstetrician"
Dr. Rajeev Rathi,"MBBS, MD - Medicine, DM - Cardiology",,,Saket, Delhi,₹1200,37,Cardiologist
Dr. Subhash Agarwal,"MBBS, MD - Pediatrics",,,Punjabi Bagh, Delhi,₹1500,51,Pediatrician
Dr. Vivek Tandon,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",,,Sarita Vihar, Delhi,₹2000,25,"GastroIntestinal Surgeon, General Surgeon, Gastroenterologist, Intestine Surgeon, Laparoscopic Surgeon, Surgical Oncologist"
Dr. Rajeev Gupta,"MBBS, MD - Medicine",,,Punjabi Bagh, Delhi,₹1000,39,General Physician
Dr. Sumit Mrig,"MS - ENT, DNB - ENT, MBBS",85% ,(263 votes),Saket, Delhi,₹1500,21,ENT/ Otorhinolaryngologist
Dr. Gunjan Verma,"MD - Dermatology , Venereology & Leprosy, MBBS",96% ,(89 votes),Dwarka, Delhi,₹500,11,"Dermatologist, Dermatosurgeon, Venereologist, Aesthetic Dermatologist"
Dr. Madhur Mahna,"MBBS, DNB - Orthopedics/Orthopedic Surgery",89% ,(169 votes),Rajouri Garden, Delhi,₹600,13,"Joint Replacement Surgeon, Spine And Pain Specialist, Orthopedic surgeon"
Dr. Gagan Anand,"MBBS, DNB - General Medicine",,,Pusa Road, Delhi,₹1100,n8,"Internal Medicine, General Physician"
Dr. Heena Gandhi,"BDS, MDS - Conservative Dentistry & Endodontics",,,Shalimar Bagh, Delhi,₹300,15,"Dentist, Conservative Dentist, Endodontist"
Dr. Divya Nigam,"MDS - Paedodontics And Preventive Dentistry, BDS",97% ,(108 votes),Lajpat Nagar, Delhi,₹500,14,"Dentist, Pediatric Dentist"
Dr. Preeti Agarwal,"MBBS, MS - Obstetrics & Gynaecology",,,Patparganj, Delhi,₹900,23,"Obstetrician, Gynecologist"
Dr. Deepak Nakra,"BDS, Fellowship in Oral implantlogy, Certificate of Oral Implantology",97% ,(32 votes),Punjabi Bagh, Delhi,₹500,23,"Implantologist, Dentist"
Dr. Ashwani Sharma,"DNB - Anaesthesia, MBBS",,,Uttam Nagar, Delhi,₹500,13,General Physician
Dr. Vipul Mohan,"MD - General Medicine, MBBS",82% ,(22 votes),Hauz Khas, Delhi,₹1000,15,General Physician
Dr. Pulkit Nandwani,"MBBS, MD / MS - Obstetrics & Gynaecology, MRCOG(UK)",93% ,(193 votes),Rohini, Delhi,₹600,20,"Gynecologist, Obstetrician"
Dr. Dharna Gupta,"DGO, DNB - Obstetrics & Gynecology",97% ,(93 votes),Dwarka Sector 22, Delhi,₹700,14,"Obstetrician, Gynecologist, Laparoscopic Surgeon (Obs & Gyn), Infertility Specialist"
Dr. Deepak Govil,"MBBS, MS - General Surgery, PhD - Gastrointestinal Surgery",94% ,(34 votes),Sarita Vihar, Delhi,₹2000,40,"GastroIntestinal Surgeon, General Surgeon, Intestine Surgeon"
Dr. Sunny Kalra,"MBBS, DNB - Respiratory Diseases",,,Pusa Road, Delhi,₹1300,18,Pulmonologist
Dr. Anil Kumar Gulia,"MBBS, MS - General Surgery, MCh - Urology",,,Okhla, Delhi,₹1500,24,Urologist
Dr. Nipun Jain,"MD - Dermatology , Venereology & Leprosy, MBBS",98% ,(645 votes),Dwarka, Delhi,₹800,26,"Dermatologist, Aesthetic Dermatologist, Cosmetologist, Venereologist"
Dr. Subhash Wangnoo,"MBBS, MD - Medicine, DM - Endocrinology",91% ,(11 votes),Sarita Vihar, Delhi,₹3000,37,Endocrinologist
Dr. Rashi Khare,"MBBS, MD - Medicine, DM - Cardiology",,,Shalimar Bagh, Delhi,₹800,17,Cardiologist
Dr. Sharad Maheswari,"MBBS, MS - ENT",63% ,(51 votes),Patparganj, Delhi,₹800,41,ENT/ Otorhinolaryngologist
Dr. Anil Kumar Gulati,"MBBS, MD - Pediatrics",100% ,(206 votes),Saket, Delhi,₹1200,44,Pediatrician
Dr. Shiv P Mahapatra,"MDS - Oral & Maxillofacial Surgery, BDS",94% ,(31 votes),Dwarka Sector 22, Delhi,₹500,11,"Oral And MaxilloFacial Surgeon, Dentist, Dental Surgeon"
Dr. Saurabh Singhal,"MS - General Surgery, MBBS",,,Jasola, Delhi,₹1000,n9,"Laparoscopic Surgeon, General Surgeon"
Dr. Ankit Bhartia,"MBBS, MS - Orthopaedics",98% ,(1389 votes),Dwarka Sector 3, Delhi,₹600,15,"Orthopedic surgeon, Joint Replacement Surgeon, Spine Surgeon (Ortho)"
Dr. Ila Gupta,"MBBS, MS - Obstetrics & Gynaecology",99% ,(72 votes),Malviya Nagar, Delhi,₹1500,31,"Infertility Specialist, Reproductive Endocrinologist (Infertility)"
Dr. Anupam Goel,DM - Cardiology,,,Saket, Delhi,₹1200,25,Cardiologist
Dr. Ameet Kishore,"MBBS, FRCS - Otolaryngology",97% ,(34 votes),Sarita Vihar, Delhi,₹2000,32,"ENT/ Otorhinolaryngologist, Otologist/ Neurotologist, Pediatric Otorhinolaryngologist"
Dr. Kapil Kumar,"MBBS, MS - General Surgery",,,Shalimar Bagh, Delhi,₹1200,33,General Surgeon
Dr. Charu Awasthi   (Physiotherapist),BPTh/BPT,,,Uttam Nagar, Delhi,₹200,15,TherapistPhysiotherapist
Dr. T Chandan,"BDS, PhD - Orthodontics & Dentofacial Orthopaedics",96% ,(279 votes),Saket, Delhi,₹800,27,"Orthodontist, Dentofacial Orthopedist, Dentist"
Dr. V.S. Madan,"MBBS, MS - General Surgery, MCh - Neuro Surgery",,,Safdarjung Enclave, Delhi,₹2000,61,Spine Surgeon (Neuro)
Dr. Pankaj Patil,BAMS,,,Kalkaji, Delhi,₹99,21,AYUSHAyurveda
Dr. Vishakha Gupta,BDS,99% ,(125 votes),Hari Nagar, Delhi,₹500,20,"Dentist, Cosmetic/Aesthetic Dentist, Dental Surgeon, Implantologist"
Dr. Shilpam Sharma,"MBBS, MS - ENT",100% ,(15 votes),Tilak Nagar, Delhi,₹600,t9,"ENT/ Otorhinolaryngologist, Pediatric Otorhinolaryngologist, Head and Neck Surgeon, Otologist/ Neurotologist"
Dr. Sushil Kumar Chaudhry,"MBBS, Diploma in Dermatology",80% ,(20 votes),Safdarjung Enclave, Delhi,₹1000,43,"Dermatologist, Cosmetologist"
Dr. B K Agarwal,"MBBS, MS - ENT",98% ,(1409 votes),Vikas Puri, Delhi,₹800,38,ENT/ Otorhinolaryngologist
Dr. Manish Mathur,"MRCP (UK), MD - Physician",91% ,(35 votes),Rohini, Delhi,₹800,25,"General Physician, Internal Medicine"
Dr. L K Malhotra,"DM - Neurology, MBBS, MD - General Medicine",96% ,(107 votes),Sheikh Sarai, Delhi,₹1800,37,Neurologist
Dr. Tripti Raheja,"MBBS, MD - Obstetrics & Gynaecology",93% ,(40 votes),Moti Nagar, Delhi,₹1200,26,Gynecologist
Dr. Neelabh,"MBBS, Diploma in Orthopaedics, DNB - Orthopedics/Orthopedic Surgery",,,Pusa Road, Delhi,₹1200,28,"Orthopedic surgeon, Spine Surgeon (Ortho), Joint Replacement Surgeon"
Dr. Neha Singhal,"BDS, PhD - Orthodontics & Dentofacial Orthopaedics",99% ,(67 votes),Kingsway Camp, Delhi,₹200,16,"Dentist, Orthodontist, Cosmetic/Aesthetic Dentist"
Dr. Vijay Arora,"MD - Medicine, MBBS",,,Patparganj, Delhi,₹1200,33,Internal Medicine
Dr. Col Akhil Mishra V S M,"MBBS, MD - General Medicine, DM - Nephrology",,,Sarita Vihar, Delhi,₹2500,57,Nephrologist/Renal Specialist
Dr. Khalid J Farooqui,"MBBS, MD - General Medicine, DM - Endocrinology",,,Saket, Delhi,₹1400,19,Endocrinologist
Dr. Neha Shukla,"MBBS, DOMS",98% ,(63 votes),Vasant Kunj, Delhi,₹700,17,Ophthalmologist/ Eye Surgeon
Ms. Kala Sengupta,M.Phil- Medical & Social Psychology,,,Janakpuri, Delhi,₹3000,35,TherapistClinical Psychologist
Dr. Shaleen Agarwal,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",,,Saket, Delhi,₹1000,27,GastroIntestinal Surgeon
Dr. Udit Rohatagi,"MBBS, MD - Pediatrics",,,Patparganj, Delhi,₹700,27,Pediatrician
Dr. Bhoopendra Prasad,"MBBS, MS - General Surgery",,,Vasant Kunj, Delhi,₹1000,21,"Laparoscopic Surgeon, Bariatric Surgeon, General Surgeon"
Dr. Madhav Shyam,BHMS,94% ,(80 votes),Dwarka Sector 12, Delhi,₹300,28,"AYUSHHomoeopath, Sexologist (Homeopathy)"
Dr. Puja Sharma,"MD - Obstetrics & Gynaecology, MBBS",98% ,(210 votes),Safdarjung Enclave, Delhi,₹1500,19,"Gynecologist, Obstetrician"
Dr. Mandeep Kaur Walia,"MBBS, MD - Pediatrics",86% ,(21 votes),Vasant Kunj, Delhi,₹700,27,Pediatrician
Dr. Vikas Mittal,"MBBS, MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine",96% ,(110 votes),Shalimar Bagh, Delhi,₹800,22,Pulmonologist
Dr. V. K. Jain,"MBBS, MCh - Neuro Surgery",83% ,(30 votes),Saket, Delhi,₹1200,46,"Neurosurgeon, Spine Surgeon (Neuro)"
Dr. Sandeep Taneja,"MBBS, Diploma in Child Health (DCH), DNB - Paediatrics",97% ,(30 votes),Janakpuri, Delhi,₹800,26,Pediatrician
Dr. Vimal Kumar Nakra,"MBBS, MD - Medicine",,,Patparganj, Delhi,₹1000,40,Internal Medicine
Dr. Shikhar Gupta,"DNB - Otorhinolaryngology, MBBS",98% ,(175 votes),Rohini Sector 9, Delhi,₹600,11,ENT/ Otorhinolaryngologist
Dr. Meena Nihalani,"MS - ENT, MBBS",96% ,(374 votes),Patparganj, Delhi,₹800,23,ENT/ Otorhinolaryngologist
Dr. Manju Gupta,"MBBS, MS - Obstetrics & Gynaecology",97% ,(322 votes),Mayur Vihar Ph-I, Delhi,₹700,17,"Gynecologist, Obstetrician, Laparoscopic Surgeon (Obs & Gyn)"
Dr. Nithish Anchal,"MBBS, MS - General Surgery, FNB- Peripheral Vascular Surgery",,,Sarita Vihar, Delhi,₹2500,19,Vascular Surgeon
Dr. Ruchi Malhotra,"DGO, DNB - Obstetrics & Gynecology, MBBS",91% ,(105 votes),Kingsway Camp, Delhi,₹1000,31,"Infertility Specialist, Laparoscopic Surgeon (Obs & Gyn), Gynecologist, Obstetrician"
Dr. Pallavi  Garg,"MBBS, MD - Medicine, DNB - Gastroenterology",90% ,(199 votes),Saket, Delhi,₹1200,17,Gastroenterologist
Dr. Shalu,BDS,,,Laxmi Nagar, Delhi,₹200,t3,Dentist
Dr. Sasha Raikhy,"MBBS, DNB - Psychiatry",91% ,(249 votes),Safdarjung Enclave, Delhi,₹1500,19,Psychiatrist
Dr. Rahul Grover,"MBBS, MD - General Medicine, DM - Nephrology",100% ,(12 votes),Panchsheel Park, Delhi,₹1400,25,Nephrologist/Renal Specialist
Dr. Ambrish Mithal,"MBBS, MD - Medicine, DM - Endocrinology",50% ,(12 votes),Saket, Delhi,₹2500,35,Endocrinologist
Dr. Chander Vansh Bareja,BHMS,100% ,(218 votes),Pitampura, Delhi,₹500,13,AYUSHHomoeopath
Dr. Surendra Nath Khanna,"MBBS, MS - General Surgery, MCh - Cardio Thoracic Surgery",,,Okhla, Delhi,₹1500,37,Cardiothoracic Surgeon
Dr. Virendra Kumar Raju,"MBBS, MD - General Medicine",90% ,(91 votes),Dwarka, Delhi,₹1000,28,"Internal Medicine, General Physician"
Dr. Meera Luthra,"MBBS, MS - General Surgery, MCh - Pediatric  Surgery, DNB - Paediatrics",,,Panchsheel Park, Delhi,₹2500,46,Pediatric Surgeon
Dr. Rohit Malik,"BDS, MDS - Oral Medicine and Radiology",94% ,(605 votes),Paschim Vihar, Delhi,₹800,23,"Dentist, Oral Medicine and Radiology, Implantologist"
Dr. Sanjay Khanna,"MBBS, MD - Medicine, DNB - Gastroenterology",88% ,(72 votes),Shalimar Bagh, Delhi,₹1200,30,Gastroenterologist
Dr. Mayur Dass,"MBBS, DGO, DNB - Obstetrics & Gynecology",98% ,(243 votes),Vasundhra Enclave, Delhi,₹600,20,"Gynecologist, Obstetrician, Infertility Specialist"
Dr. Raghav Mantri,"MS - General Surgery, MCh - Plastic Surgery",90% ,(52 votes),Saket, Delhi,₹1500,21,Plastic Surgeon
Dr. Ramneek Verma,"MD - Medicine, MBBS",,,Greater Kailash Part 2, Delhi,₹1200,46,"Internal Medicine, General Physician"
Dr. Anil Yadav,"MBBS, M.D. (Psychiatry)",96% ,(218 votes),Green Park, Delhi,₹2000,16,"Psychiatrist, Addiction Psychiatrist, Sexologist"
Dr. Anurag Singh,"BDS, MDS - Oral & Maxillofacial Surgery and Oral Implantology, FICOI",98% ,(229 votes),Saket, Delhi,₹1200,23,"Oral And MaxilloFacial Surgeon, Implantologist, Dentist"
Dr. Shipra Singla,"MBBS, MD - Obstetrics & Gynaecology",,,Patparganj, Delhi,₹1100,12,Infertility Specialist
Dr. Anjila Aneja,"MBBS, MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",76% ,(33 votes),Greater Kailash Part 2, Delhi,₹2000,31,"Gynecologist, Obstetrician, Infertility Specialist"
Dr. Kapil Garg,"BDS, MDS - Periodontics",99% ,(403 votes),Pitampura, Delhi,₹500,18,"Dentist, Periodontist, Implantologist"
Dr. Ankit Aggarwal   (Physiotherapist),MPTh/MPT - Orthopedic Physiotherapy,99% ,(305 votes),Safdarjung Enclave, Delhi,₹1000,15,TherapistOrthopedic Physiotherapist
Dr. S.B Agarwal,MBBS,,,Patparganj, Delhi,₹800,57,General Physician
Dr. Saroj Dubey,"MBBS, DM - Gastroenterology",96% ,(84 votes),Surajmal Vihar, Delhi,₹800,27,Gastroenterologist
Dr. J.M.Dua,"MD - General Medicine, MBBS",,,Sarita Vihar, Delhi,₹2000,50,"General Practitioner, Internal Medicine"
Dr. Abhimanyu Singh,"MS - Orthopaedics, MBBS",,,Rohini, Delhi,₹2000,15,Joint Replacement Surgeon
Dr. Vipin Aggarwal,"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine",,,Ansari Nagar, Delhi,₹800,t9,Pulmonologist
Dr. Vishal Dhir,"MBBS, MS - General Surgery, MCh - Cardio Thoracic Surgery",,,Pandav Nagar, Delhi,₹1000,27,Cardiothoracic Surgeon
Dr. Rajendra Prasad,"MBBS, FRCS - Neurosurgery",,,Sarita Vihar, Delhi,₹2000,37,"Spine Surgeon (Ortho), Neurosurgeon"
Dr. Geetanjali Kochar,"MBBS, MRCP (UK)",,,Sarita Vihar, Delhi,₹2000,36,"Internal Medicine, General Physician"
Dr. Rohit Chandra,"BDS, MDS",,,Patparganj, Delhi,₹1000,22,Dentist
Dr. Yuvraj Arora Monga,"MBBS, MD - Pharmacology",83% ,(1376 votes),Lajpat Nagar, Delhi,₹800,26,"General Physician, Sexologist"
